run_sig,run,seed,horizon,NSE,RMSE,MAE,rMBE,skill_vs_persistence,source,trial,status,objective,hp.model.gru_layers,hp.model.gru_hidden,hp.model.gru_dropout,hp.training.lr
in52_out16_ep1_bs4096_seed40_full_merged_spf0p5_sc20_ss42,gru_l1_in52_out16_ep1_full_merged_spatial_split_spf0p5_sc20_ss42,40.0,3.0,-1.1491440761055314,0.2725757914315219,0.214785434412614,-0.4635668750003394,,gru_metrics,,,,,,,
in52_out16_ep50_bs4096_stat1_seed40_full_merged_spf0p8_sc20_ss42,gru_l1_in52_out16_ep1_full_merged_spatial_split_spf0p8_sc20_ss42,40.0,3.0,-10.181617634996494,0.6274442909326233,0.5578698883786726,-1.2905191063682575,,gru_metrics,,,,,,,
in52_out16_ep2_bs4096_seed40_full_merged_spf0p5_sc20_ss42,gru_l1_in52_out16_ep2_full_merged_spatial_split_spf0p5_sc20_ss42,40.0,3.0,0.0434447289477915,0.1841681934207889,0.1499805541700153,-0.1724995468126992,,gru_metrics,,,,,,,
in52_out16_ep5_bs4096_seed40_full_merged_spf0p5_sc20_ss42,gru_l1_in52_out16_ep5_full_merged_spatial_split_spf0p5_sc20_ss42,40.0,3.0,0.5976259460665281,0.1197266560850293,0.0961889604632364,-0.1321744998858219,,gru_metrics,,,,,,,
in52_out16_ep5_bs4096_seed40_full_merged_spf0p8_sc20_ss42,gru_l1_in52_out16_ep5_full_merged_spatial_split_spf0p8_sc20_ss42,40.0,3.0,0.4812465662349243,0.1361542028650742,0.1109413347746196,-0.0883429682194834,,gru_metrics,,,,,,,
gru_l1_seed40_ep50_full_merged_spf0p8_sc20_ss42,gru_l1_in52_out16_ep50_full_merged_spatial_split_spf0p8_sc20_ss42,40.0,3.0,0.9217304281455544,0.0492584676626133,0.036376091308924,0.0328465957151702,,gru_metrics,,,,,,,
in52_out16_ep50_bs4096_seed40_full_merged_r1_spf0p8_sc20_ss42,gru_l2_in52_out16_ep50_full_merged_r1_spatial_split_spf0p8_sc20_ss42,40.0,3.0,0.936058200728375,0.0442563429476188,0.0323025426823339,-0.069381365649533,,gru_metrics,,,,,,,
gru_l2_revin_seed40_ep50_full_merged_spf0p8_sc20_ss42,gru_l2_in52_out16_ep50_full_merged_spatial_split_spf0p8_sc20_ss42,40.0,3.0,0.9310249412230542,0.0455834225301045,0.0336623749175629,0.0032688880998875,,gru_metrics,,,,,,,
gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gru_l2_in52_out16_ep50_full_merged_spatial_split_spf0p8_sc20_ss42,40.0,3.0,0.9310249412230542,0.0455834225301045,0.0336623749175629,0.0032688880998875,,gru_metrics,,,,,,,
gru_l3_seed40_ep50_full_merged_spf0p8_sc20_ss42,gru_l3_in52_out16_ep50_full_merged_spatial_split_spf0p8_sc20_ss42,40.0,3.0,0.9239933783111912,0.047804377650889,0.0357171260949337,0.004749330726843,,gru_metrics,,,,,,,
gru_ablation_revin_scheduler_t001_seed40_full_merged,gru_l2_in52_out16_ep50_full_merged,40.0,4.0,0.9149074035099451,0.0508852378661051,0.0373627324124951,-0.0878658384876819,,gru_metrics,,,,,,,
gru_ablation_revin_scheduler_t002_seed40_full_merged,gru_l2_in52_out16_ep50_full_merged,40.0,4.0,0.9127771672350884,0.0515696803627362,0.0392873524587391,0.0087541218089477,,gru_metrics,,,,,,,
gru_ablation_revin_scheduler_t003_seed40_full_merged,gru_l2_in52_out16_ep50_full_merged,40.0,4.0,0.9149074035099451,0.0508852378661051,0.0373627324124951,-0.0878658384876819,,gru_metrics,,,,,,,
gru_ablation_revin_scheduler_t004_seed40_full_merged,gru_l2_in52_out16_ep50_full_merged,40.0,4.0,0.9127771672350884,0.0515696803627362,0.0392873524587391,0.0087541218089477,,gru_metrics,,,,,,,
in26_out4_ep1_bs4096_seed40_full_merged_spf0p5_sc20_ss42,gru_l1_in26_out4_ep1_full_merged_spatial_split_spf0p5_sc20_ss42,40.0,4.0,-0.9318391681691394,0.2528142759808158,0.2060585660797557,0.1731674981460456,,gru_metrics,,,,,,,
in26_out4_ep1_bs4096_seed40_sample_spf0p5_sc5_ss42,gru_l1_in26_out4_ep1_sample_spf0p5_sc5_ss42,40.0,4.0,-2953.911861706617,13.637466651972858,13.50746690485466,-51.14467210652721,,gru_metrics,,,,,,,
in26_out4_ep1_bs128_seed40_sample_spf0p8_sc5_ss42,gru_l1_in26_out4_ep1_sample_spf0p8_sc5_ss42,40.0,4.0,-457.9090264941416,5.542628724830735,5.445304688084068,-20.456701843147115,,gru_metrics,,,,,,,
in52_out16_ep1_bs4096_seed40_full_merged_spf0p5_sc20_ss42,gru_l1_in52_out16_ep1_full_merged_spatial_split_spf0p5_sc20_ss42,40.0,4.0,-0.9649425293825672,0.2746780496401446,0.2158825522974918,-0.3352759774803145,,gru_metrics,,,,,,,
in52_out16_ep50_bs4096_stat1_seed40_full_merged_spf0p8_sc20_ss42,gru_l1_in52_out16_ep1_full_merged_spatial_split_spf0p8_sc20_ss42,40.0,4.0,-9.208865631123125,0.5816008209528215,0.5058650696676884,-0.9325240581113168,,gru_metrics,,,,,,,
