run_dir,horizon,NSE_median_well,RMSE_median_well
GRU_FCOV_gru_l1_seed40_ep50_full_merged_spf0p8_sc20_ss42,11,0.7825845304735375,0.0839047489697517
GRU_FCOV_gru_l1_seed40_ep50_full_merged_spf0p8_sc20_ss42,12,0.7714428922447937,0.08663632958081988
GRU_FCOV_gru_l1_seed40_ep50_full_merged_spf0p8_sc20_ss42,13,0.7585724765186985,0.08962554787613683
GRU_FCOV_gru_l1_seed40_ep50_full_merged_spf0p8_sc20_ss42,14,0.7459543895690907,0.09181459522406826
GRU_FCOV_gru_l1_seed40_ep50_full_merged_spf0p8_sc20_ss42,15,0.7332314402515592,0.09351806190910592
GRU_FCOV_gru_l1_seed40_ep50_full_merged_spf0p8_sc20_ss42,16,0.7205995679049069,0.09599348420300785
GRU_FCOV_gru_l2_revin_seed40_ep50_full_merged_spf0p8_sc20_ss42,1,0.9734052889056549,0.026965510848574573
GRU_FCOV_gru_l2_revin_seed40_ep50_full_merged_spf0p8_sc20_ss42,2,0.951619065422198,0.03783157047693337
GRU_FCOV_gru_l2_revin_seed40_ep50_full_merged_spf0p8_sc20_ss42,3,0.9310249412230542,0.045583422530104535
GRU_FCOV_gru_l2_revin_seed40_ep50_full_merged_spf0p8_sc20_ss42,4,0.9127771672350883,0.0515696803627362
GRU_FCOV_gru_l2_revin_seed40_ep50_full_merged_spf0p8_sc20_ss42,5,0.8952733510675883,0.05750314554262206
GRU_FCOV_gru_l2_revin_seed40_ep50_full_merged_spf0p8_sc20_ss42,6,0.8797734293503322,0.062065843426412734
GRU_FCOV_gru_l2_revin_seed40_ep50_full_merged_spf0p8_sc20_ss42,7,0.8638835593355085,0.0656545905522915
GRU_FCOV_gru_l2_revin_seed40_ep50_full_merged_spf0p8_sc20_ss42,8,0.8505030131040294,0.06929668888955988
GRU_FCOV_gru_l2_revin_seed40_ep50_full_merged_spf0p8_sc20_ss42,9,0.8355285721840976,0.07253447300470015
GRU_FCOV_gru_l2_revin_seed40_ep50_full_merged_spf0p8_sc20_ss42,10,0.8219428921917346,0.07557732925223339
GRU_FCOV_gru_l2_revin_seed40_ep50_full_merged_spf0p8_sc20_ss42,11,0.8096289967725854,0.07907582627360643
GRU_FCOV_gru_l2_revin_seed40_ep50_full_merged_spf0p8_sc20_ss42,12,0.7991366410871756,0.08183510588923615
GRU_FCOV_gru_l2_revin_seed40_ep50_full_merged_spf0p8_sc20_ss42,13,0.7904121003211634,0.0845366397278802
GRU_FCOV_gru_l2_revin_seed40_ep50_full_merged_spf0p8_sc20_ss42,14,0.780856401472646,0.0869346813485346
GRU_FCOV_gru_l2_revin_seed40_ep50_full_merged_spf0p8_sc20_ss42,15,0.7741162710956349,0.08916460798236925
GRU_FCOV_gru_l2_revin_seed40_ep50_full_merged_spf0p8_sc20_ss42,16,0.7618427168939582,0.09141914176137032
GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,1,0.9734052889056549,0.026965510848574573
GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,2,0.951619065422198,0.03783157047693337
GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,3,0.9310249412230542,0.045583422530104535
