run,horizon,NSE,RMSE,MAE,rMBE,skill_vs_persistence
gru_l1_in52_out16_ep5_full_merged_spatial_split_spf0p8_sc20_ss42,14,-0.587,0.243,0.197,-0.084,
gru_l1_in52_out16_ep5_full_merged_spatial_split_spf0p8_sc20_ss42,15,-0.744,0.255,0.206,-0.121,
gru_l1_in52_out16_ep5_full_merged_spatial_split_spf0p8_sc20_ss42,16,-0.861,0.268,0.215,-0.16,
gru_l2_in52_out16_ep50_full_merged_spatial_split_spf0p8_sc20_ss42,1,0.973,0.027,0.02,-0.0,
gru_l2_in52_out16_ep50_full_merged_spatial_split_spf0p8_sc20_ss42,2,0.952,0.038,0.027,-0.006,
gru_l2_in52_out16_ep50_full_merged_spatial_split_spf0p8_sc20_ss42,3,0.931,0.046,0.034,0.003,
gru_l2_in52_out16_ep50_full_merged_spatial_split_spf0p8_sc20_ss42,4,0.913,0.052,0.039,0.009,
gru_l2_in52_out16_ep50_full_merged_spatial_split_spf0p8_sc20_ss42,5,0.895,0.058,0.044,0.009,
gru_l2_in52_out16_ep50_full_merged_spatial_split_spf0p8_sc20_ss42,6,0.88,0.062,0.048,0.009,
gru_l2_in52_out16_ep50_full_merged_spatial_split_spf0p8_sc20_ss42,7,0.864,0.066,0.051,0.006,
gru_l2_in52_out16_ep50_full_merged_spatial_split_spf0p8_sc20_ss42,8,0.851,0.069,0.055,0.003,
gru_l2_in52_out16_ep50_full_merged_spatial_split_spf0p8_sc20_ss42,9,0.836,0.073,0.057,0.003,
gru_l2_in52_out16_ep50_full_merged_spatial_split_spf0p8_sc20_ss42,10,0.822,0.076,0.06,0.003,
gru_l2_in52_out16_ep50_full_merged_spatial_split_spf0p8_sc20_ss42,11,0.81,0.079,0.063,0.002,
gru_l2_in52_out16_ep50_full_merged_spatial_split_spf0p8_sc20_ss42,12,0.799,0.082,0.065,0.002,
gru_l2_in52_out16_ep50_full_merged_spatial_split_spf0p8_sc20_ss42,13,0.79,0.085,0.067,0.003,
gru_l2_in52_out16_ep50_full_merged_spatial_split_spf0p8_sc20_ss42,14,0.781,0.087,0.069,0.001,
gru_l2_in52_out16_ep50_full_merged_spatial_split_spf0p8_sc20_ss42,15,0.774,0.089,0.071,0.002,
gru_l2_in52_out16_ep50_full_merged_spatial_split_spf0p8_sc20_ss42,16,0.762,0.091,0.072,0.003,
gru_l3_in52_out16_ep50_full_merged_spatial_split_spf0p8_sc20_ss42,1,0.968,0.03,0.022,0.01,
gru_l3_in52_out16_ep50_full_merged_spatial_split_spf0p8_sc20_ss42,2,0.944,0.041,0.03,0.005,
gru_l3_in52_out16_ep50_full_merged_spatial_split_spf0p8_sc20_ss42,3,0.924,0.048,0.036,0.005,
gru_l3_in52_out16_ep50_full_merged_spatial_split_spf0p8_sc20_ss42,4,0.907,0.054,0.041,0.004,
gru_l3_in52_out16_ep50_full_merged_spatial_split_spf0p8_sc20_ss42,5,0.891,0.059,0.045,0.003,
gru_l3_in52_out16_ep50_full_merged_spatial_split_spf0p8_sc20_ss42,6,0.873,0.063,0.049,0.001,
gru_l3_in52_out16_ep50_full_merged_spatial_split_spf0p8_sc20_ss42,7,0.857,0.067,0.052,0.002,
gru_l3_in52_out16_ep50_full_merged_spatial_split_spf0p8_sc20_ss42,8,0.843,0.071,0.055,0.002,
gru_l3_in52_out16_ep50_full_merged_spatial_split_spf0p8_sc20_ss42,9,0.827,0.075,0.058,0.001,
gru_l3_in52_out16_ep50_full_merged_spatial_split_spf0p8_sc20_ss42,10,0.814,0.078,0.061,-0.001,
gru_l3_in52_out16_ep50_full_merged_spatial_split_spf0p8_sc20_ss42,11,0.798,0.081,0.063,0.0,
gru_l3_in52_out16_ep50_full_merged_spatial_split_spf0p8_sc20_ss42,12,0.785,0.084,0.066,0.004,
gru_l3_in52_out16_ep50_full_merged_spatial_split_spf0p8_sc20_ss42,13,0.772,0.086,0.067,0.001,
gru_l3_in52_out16_ep50_full_merged_spatial_split_spf0p8_sc20_ss42,14,0.758,0.088,0.069,0.003,
gru_l3_in52_out16_ep50_full_merged_spatial_split_spf0p8_sc20_ss42,15,0.744,0.09,0.071,0.004,
gru_l3_in52_out16_ep50_full_merged_spatial_split_spf0p8_sc20_ss42,16,0.735,0.093,0.073,0.005,
