id,x_25833,y_25833,d_k1_mean_m,d_k3_mean_m,d_k5_mean_m,d_k10_mean_m,rmse
LFU_28438120,363846.0,5888971.0,4.123105625617661,414.02831759045324,1971.3489278471036,5190.475641355621,0.36944959945996225
LFU_28481093,417176.0,5892231.0,12064.598004077881,12628.67475079193,13273.60345044937,15216.24537155878,1.8931166003032105
LFU_29350020,275681.0,5881846.0,0.0,3961.6834378647422,6188.962150560454,10205.849454262701,0.82144145981296
LFU_29370007,289826.0,5885423.0,4235.000118063753,4411.832668853435,4740.094397076502,7159.1903838288,3.3327082866676903
LFU_29370009,298453.6,5880725.1,4952.9097912237585,5715.850815364727,6044.408880208293,8471.990892132457,11.803604370723908
LFU_29370011,292079.0,5883614.0,2914.413500174288,4798.821454093587,5459.539434318021,7341.636348183785,0.5691717205290515
LFU_29391201,319693.9,5880262.9,5221.347261004237,6807.18132969012,7966.49015672917,9611.876636972864,2.397401763635377
LFU_29391202,319696.0,5880264.0,5219.393547147025,6806.643424483969,7965.729087714307,9611.348127941694,0.6522826758505199
LFU_29391203,319696.0,5880264.0,5219.393547147025,6806.643424483969,7965.729087714307,9611.348127941694,0.6491452768485784
LFU_29410630,335836.0,5883454.0,5670.19161933704,6347.671409824722,7120.396500061368,8528.134243598415,3.99595735986815
LFU_29463383,389462.0,5874874.0,0.0,4293.953256825967,7325.574790665039,10367.193524754479,0.8796428616351709
LFU_29463384,389462.0,5874874.0,0.0,4293.953256825967,7325.574790665039,10367.193524754479,0.20769662511943043
LFU_29483281,410651.0,5876294.0,3706.440880413446,4156.534729060012,4666.239795034988,6752.871298486262,0.9449273952056668
LFU_29490634,430332.0,5877857.0,424.3229901855425,617.5908319326383,1383.4280515415073,4431.133536697804,2.0893387064987166
LFU_29501405,438415.0,5878483.0,5.0990195135927845,4908.4037596335575,6233.324535918696,7551.272968363616,1.1289050839139299
LFU_29519017,450075.0,5877008.0,1569.058634978311,1751.11392151601,1932.86031047829,2524.314037131334,1.778838425955192
LFU_29519026,452754.0,5882710.0,1044.3926464697079,1230.5310019592644,1523.16827567718,2278.92137856198,0.711212870630305
LFU_30360035,285071.0,5873440.0,992.6499886667002,5724.465210495829,7164.368845126517,9211.80440017737,1.0114157173336944
LFU_30370060,289319.0,5870193.0,5117.209102626157,6107.33247709335,6870.25422394128,9849.492263951828,1.0779495122461769
LFU_30380005,303978.0,5866803.0,7168.494751340759,9304.674845570904,9985.30026025963,11935.75191618878,7.777576677042695
LFU_30401381,324796.0,5869084.0,34.828149534535996,2920.072800977048,4025.613383218291,5927.3152500865,0.5419908042926365
LFU_30401382,322708.0,5870714.0,2656.8569777088114,4370.07923993291,5091.729889073834,6371.347031475545,1.2482923906956689
LFU_30429033,349144.0,5872409.0,0.0,3249.3432498822826,4059.5629163151775,4692.597072934497,1.2395105667172952
LFU_30429666,351102.0,5867160.0,1690.5209256320964,2214.6208080183856,2319.440784495643,3295.928667949349,0.4435888300143324
LFU_30438511,364518.0,5870517.0,7782.000578257496,8055.1504582389025,8247.869400648953,9164.617647728373,5.8160832244545
LFU_30460969,398917.0,5865324.0,0.0,2100.303046917013,2769.894970268565,4269.378589399474,0.7294821667139888
LFU_30463569,394344.0,5864095.0,0.0,2069.1839507936993,3306.2238332869347,4926.187586774149,0.24191194167485988
LFU_30470369,402716.0,5865972.0,0.0,2378.1391899754367,3029.604051072124,4652.096633070951,0.5250802257940383
LFU_30476001,409051.0,5870237.0,8.06225774829855,2280.291472817006,3174.4438630341683,5482.715993687405,0.13394492063498262
LFU_30481528,412549.0,5872191.0,1.0,2461.441972383707,3914.8586425249414,6298.412383569759,12.934541679082635
LFU_30491509,431861.0,5868978.0,187.48866632412745,358.7431161377053,1445.5940119549518,4409.19122980876,1.0717952907181476
LFU_30491510,431833.0,5869142.0,21.540659228538015,196.32684129460526,1281.6836704656514,4331.551673642984,0.8280531773776088
LFU_30491511,431833.0,5869142.0,21.540659228538015,196.32684129460526,1281.6836704656514,4331.551673642984,0.6341462736456878
LFU_30500621,440670.0,5863130.0,4596.49790601497,5022.419482528087,5677.146084512476,6549.416151092038,8.188386399084482
LFU_31419709,336799.0,5855762.0,0.0,3011.194545067243,3925.4706965600444,5087.469102339167,0.31032860688590336
LFU_31429757,343395.0,5857596.0,4592.320219671098,5343.621210576944,6823.576532706694,8501.586310714189,1.3777630657075148
LFU_31445105,373734.0,5861989.0,2408.741787738985,4023.9182437163167,5316.059408498183,7062.420597209991,0.36374097729483
LFU_31449109,366849.0,5859704.0,0.0,0.0,1236.2203581986073,3953.24755498026,0.5308614628669232
