log,run,valid_pairs,skipped,RMSE,nRMSE,NSE_pooled,NSE,NSE_id_median,NSE_id_p25,NSE_id_p50,NSE_id_p75,NSE_id_mean,NSE_id_count,NSE_hw,RMSE_hw,nRMSE_hw,MAE,AbsErr_P95,AbsErr_P99,AbsErr_Max,nRMSE_pw,RMSE_pw,NSE_pw,n_dates,n_train_wells,n_holdout_wells,dkl_latent_dims,dkl_train_steps,gp_ls,gp_os,gp_noise,dkl_best_mll,y_mean,y_std
gw-dec-km-90-ss46.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f90_ss46__dec_prod_hydroraum_gps1__predobstrain,3696.0,240.0,7.5033,0.2193,0.9119,0.9119,-75.8218,-594.9511,-75.8218,-12.2889,-2223.1326,101.0,-67.8317,1.2976,6.2455,3.5834,15.8102,25.8649,55.7068,6.4418,1.5109,-75.8218,,,,,,,,,,,
gw-dec-km-90-ss47.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f90_ss47__dec_prod_hydroraum_gps1__predobstrain,3696.0,240.0,10.3902,0.3942,0.8136,0.8136,-23.9619,-263.7295,-23.9619,-2.1827,-3460.2197,98.0,-18.7636,0.8884,3.6264,3.853,15.9746,53.6492,60.3395,3.6272,0.9434,-23.9619,,,,,,,,,,,
gw-dec-km-90-ss48.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f90_ss48__dec_prod_hydroraum_gps1__predobstrain,3696.0,240.0,10.6179,0.2921,0.8581,0.8581,-32.4171,-490.8342,-32.4171,-2.5045,-3556.7308,99.0,-29.6073,1.1919,4.4346,4.8311,22.0481,51.1942,55.2934,4.4806,1.2632,-32.4171,,,,,,,,,,,
gw-dec-km-90-ss49.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f90_ss49__dec_prod_hydroraum_gps1__predobstrain,3696.0,240.0,7.9529,0.3049,0.9034,0.9034,-34.5125,-1181.9648,-34.5125,-4.0387,-3624.3867,100.0,-34.8668,1.1729,5.2756,3.9297,17.4237,35.8869,50.1249,5.4365,1.2233,-34.5125,,,,,,,,,,,
gw-dec-km-90-ss50.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f90_ss50__dec_prod_hydroraum_gps1__predobstrain,3696.0,240.0,9.2767,0.2177,0.8925,0.8925,-25.2985,-644.6138,-25.2985,-2.6189,-4212.9953,99.0,-26.505,0.9519,4.3336,4.0774,20.066,55.0346,61.8053,4.5715,0.9623,-25.2985,,,,,,,,,,,
gw-dec-km-90-ss51.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f90_ss51__dec_prod_hydroraum_gps1__predobstrain,3696.0,240.0,7.4457,0.2423,0.9223,0.9223,-55.977,-687.8617,-55.977,-7.0291,-4100.6416,99.0,-57.8063,1.3737,6.0016,3.8804,15.0069,35.3239,39.5283,6.0281,1.3525,-55.977,,,,,,,,,,,
gw-dec-km-ss42.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss42__dec_prod_hydroraum_gps1__predobstrain,3696.0,240.0,3.2965,0.0975,0.9808,0.9808,-17.7404,-151.9568,-17.7404,-4.0685,-548.6761,47.0,-15.3134,0.7505,3.0145,1.8927,7.8634,12.9779,16.541,3.1941,0.8021,-17.7404,,,,,,,,,,,
gw-ms-km-ss42.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss42__multiseed_km_gps1__predobstrain,852.0,76.0,4.0497,0.1198,0.971,0.971,-48.2264,-466.8587,-48.2264,-3.5771,-784.7829,47.0,,,,2.6029,9.6432,11.7266,13.1151,5.4077,1.0633,-48.2264,,,,,,,,,,,
gw-ms-km-ss42.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss42__multiseed_km_gps2__predobstrain,852.0,76.0,4.143,0.1226,0.9696,0.9696,-44.4315,-457.144,-44.4315,-4.6392,-809.9057,47.0,,,,2.6592,10.0495,11.9293,12.6485,5.2456,1.0744,-44.4315,,,,,,,,,,,
gw-ms-km-ss42.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss42__multiseed_km_gps3__predobstrain,852.0,76.0,4.1932,0.1241,0.9689,0.9689,-45.8066,-541.5557,-45.8066,-3.8413,-808.8141,47.0,,,,2.6852,9.8158,11.9734,13.6781,5.3244,0.928,-45.8066,,,,,,,,,,,
gw-dec-km-ss43.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss43__dec_prod_hydroraum_gps1__predobstrain,3696.0,240.0,5.0781,0.1861,0.9405,0.9405,-12.4981,-180.999,-12.4981,-1.0725,-1306.4138,48.0,-12.1539,0.8492,2.6222,2.6769,14.5149,19.149,20.7655,2.796,1.0038,-12.4981,,,,,,,,,,,
