split,frac,ss,tag,NSE_hw,run
md30,95,44,multiseed_md30_gps3,-16.45291468536371,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md30_f95_ss44__multiseed_md30_gps3__predobstrain
md30,95,45,coloc_pilot,-15.676126752629393,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md30_f95_ss45__coloc_pilot__predobstrain
md30,95,45,multiseed_md30_gps1,-16.10592421613268,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md30_f95_ss45__multiseed_md30_gps1__predobstrain
md30,95,45,multiseed_md30_gps2,-16.009001594564793,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md30_f95_ss45__multiseed_md30_gps2__predobstrain
md30,95,45,multiseed_md30_gps3,-16.1118846625065,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md30_f95_ss45__multiseed_md30_gps3__predobstrain
md30,95,46,coloc_pilot,-33.2015248843053,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md30_f95_ss46__coloc_pilot__predobstrain
md30,95,46,multiseed_md30_gps1,-35.074440211108225,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md30_f95_ss46__multiseed_md30_gps1__predobstrain
md30,95,46,multiseed_md30_gps2,-36.380132748493295,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md30_f95_ss46__multiseed_md30_gps2__predobstrain
md30,95,46,multiseed_md30_gps3,-30.580452873419816,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md30_f95_ss46__multiseed_md30_gps3__predobstrain
md30,95,47,multiseed_md30_gps1,-21.67607527599262,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md30_f95_ss47__multiseed_md30_gps1__predobstrain
md30,95,47,multiseed_md30_gps2,-22.869477042800476,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md30_f95_ss47__multiseed_md30_gps2__predobstrain
md30,95,47,multiseed_md30_gps3,-21.854765123388017,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md30_f95_ss47__multiseed_md30_gps3__predobstrain
md30,95,48,multiseed_md30_gps1,-17.73325289824868,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md30_f95_ss48__multiseed_md30_gps1__predobstrain
md30,95,48,multiseed_md30_gps2,-17.898931367729194,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md30_f95_ss48__multiseed_md30_gps2__predobstrain
md30,95,48,multiseed_md30_gps3,-17.575334671156536,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md30_f95_ss48__multiseed_md30_gps3__predobstrain
md30,95,49,multiseed_md30_gps1,-31.53166718205873,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md30_f95_ss49__multiseed_md30_gps1__predobstrain
md30,95,49,multiseed_md30_gps2,-33.92707041235323,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md30_f95_ss49__multiseed_md30_gps2__predobstrain
md30,95,49,multiseed_md30_gps3,-32.55765746345146,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md30_f95_ss49__multiseed_md30_gps3__predobstrain
md30,95,50,multiseed_md30_gps1,-15.695995535776575,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md30_f95_ss50__multiseed_md30_gps1__predobstrain
md30,95,50,multiseed_md30_gps2,-16.58497379850773,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md30_f95_ss50__multiseed_md30_gps2__predobstrain
md30,95,50,multiseed_md30_gps3,-16.32814395097477,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md30_f95_ss50__multiseed_md30_gps3__predobstrain
md30,95,51,multiseed_md30_gps1,-29.534336246877665,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md30_f95_ss51__multiseed_md30_gps1__predobstrain
md30,95,51,multiseed_md30_gps2,-30.289310890727258,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md30_f95_ss51__multiseed_md30_gps2__predobstrain
md30,95,51,multiseed_md30_gps3,-31.693517229825467,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md30_f95_ss51__multiseed_md30_gps3__predobstrain
md40,95,42,coloc_pilot,-17.2514886489232,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md40_f95_ss42__coloc_pilot__predobstrain
md40,95,42,multiseed_md40_gps1,-17.918330833395476,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md40_f95_ss42__multiseed_md40_gps1__predobstrain
md40,95,42,multiseed_md40_gps2,-17.22412987644912,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md40_f95_ss42__multiseed_md40_gps2__predobstrain
md40,95,42,multiseed_md40_gps3,-17.070086972208813,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md40_f95_ss42__multiseed_md40_gps3__predobstrain
md40,95,43,coloc_pilot,-36.7868008679777,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md40_f95_ss43__coloc_pilot__predobstrain
md40,95,43,multiseed_md40_gps1,-36.456325528300766,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md40_f95_ss43__multiseed_md40_gps1__predobstrain
md40,95,43,multiseed_md40_gps2,-35.129713636504185,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md40_f95_ss43__multiseed_md40_gps2__predobstrain
md40,95,43,multiseed_md40_gps3,-36.24912707974726,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md40_f95_ss43__multiseed_md40_gps3__predobstrain
md40,95,44,coloc_pilot,-24.39922814832964,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md40_f95_ss44__coloc_pilot__predobstrain
md40,95,44,multiseed_md40_gps1,-25.19670212349847,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md40_f95_ss44__multiseed_md40_gps1__predobstrain
md40,95,44,multiseed_md40_gps2,-25.60093250680859,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md40_f95_ss44__multiseed_md40_gps2__predobstrain
md40,95,44,multiseed_md40_gps3,-26.393420434710343,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md40_f95_ss44__multiseed_md40_gps3__predobstrain
md40,95,45,coloc_pilot,-18.444292824721852,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md40_f95_ss45__coloc_pilot__predobstrain
md40,95,45,multiseed_md40_gps1,-18.62055758470769,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md40_f95_ss45__multiseed_md40_gps1__predobstrain
md40,95,45,multiseed_md40_gps2,-19.13428913685241,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md40_f95_ss45__multiseed_md40_gps2__predobstrain
md40,95,45,multiseed_md40_gps3,-18.79933486568276,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md40_f95_ss45__multiseed_md40_gps3__predobstrain
md40,95,46,coloc_pilot,-31.816609328348655,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md40_f95_ss46__coloc_pilot__predobstrain
md40,95,46,multiseed_md40_gps1,-32.76845040523377,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md40_f95_ss46__multiseed_md40_gps1__predobstrain
md40,95,46,multiseed_md40_gps2,-33.48494588616333,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md40_f95_ss46__multiseed_md40_gps2__predobstrain
md40,95,46,multiseed_md40_gps3,-32.6742956012476,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md40_f95_ss46__multiseed_md40_gps3__predobstrain
md40,95,47,multiseed_md40_gps1,-57.81428088891488,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md40_f95_ss47__multiseed_md40_gps1__predobstrain
md40,95,47,multiseed_md40_gps2,-62.174733974211,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md40_f95_ss47__multiseed_md40_gps2__predobstrain
md40,95,47,multiseed_md40_gps3,-66.2719275088659,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md40_f95_ss47__multiseed_md40_gps3__predobstrain
md40,95,48,multiseed_md40_gps1,-27.132078966354158,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md40_f95_ss48__multiseed_md40_gps1__predobstrain
md40,95,48,multiseed_md40_gps2,-27.23870950760455,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md40_f95_ss48__multiseed_md40_gps2__predobstrain
md40,95,48,multiseed_md40_gps3,-26.482784020797098,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md40_f95_ss48__multiseed_md40_gps3__predobstrain
md40,95,49,multiseed_md40_gps1,-39.06787661460904,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md40_f95_ss49__multiseed_md40_gps1__predobstrain
md40,95,49,multiseed_md40_gps2,-38.54682321738497,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md40_f95_ss49__multiseed_md40_gps2__predobstrain
md40,95,49,multiseed_md40_gps3,-38.8037338224477,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md40_f95_ss49__multiseed_md40_gps3__predobstrain
md40,95,50,multiseed_md40_gps1,-17.662541046005078,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md40_f95_ss50__multiseed_md40_gps1__predobstrain
md40,95,50,multiseed_md40_gps2,-17.439504310887045,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md40_f95_ss50__multiseed_md40_gps2__predobstrain
md40,95,50,multiseed_md40_gps3,-17.44406118919354,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md40_f95_ss50__multiseed_md40_gps3__predobstrain
md40,95,51,multiseed_md40_gps1,-26.254642255914632,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md40_f95_ss51__multiseed_md40_gps1__predobstrain
