split,feat,nRMSE_iqr,rmse_pw
rand,fuk_only,2.7842974521136856,1.0987153881489746
rand,fuk_only,2.2091988369582545,0.9296772417855472
rand,fuk_only,3.033272717069919,1.0206294801224673
rand,fuk_only,2.8617156975683304,1.0774621534955533
rand,fuk_only,3.9799064146563943,1.3426209044615987
rand,fuk_only,2.6702541241635958,1.0034059953041135
rand,fok_fuk,2.7358240070560136,0.9241695902032794
rand,fok_fuk,2.392176584773193,0.9986771618840615
rand,fok_fuk,2.9015659924257466,1.1804348224237127
rand,fok_fuk,3.044016578126663,1.1447219239078736
rand,fok_fuk,2.6935891501548843,1.0962563781183632
rand,fok_fuk,2.191729883894303,0.9188478519103542
rand,fok_fuk,3.0087481160392215,1.0375782675020242
rand,fok_fuk,2.8994531433291133,1.0730021504624578
rand,fok_fuk,4.106790084915513,1.3362659382342104
rand,fok_fuk,2.8069331106121496,1.013024489696201
rand,pr1lag_only,3.522647172959199,1.4357404670775749
rand,pr1lag_only,3.2238137658810313,1.1149976066592724
rand,pr1lag_only,3.494218749416822,1.4698623146143137
rand,pr1lag_only,3.976337555302674,1.6423103167681559
rand,pr1lag_only,2.887734720119458,1.0912638589903811
rand,pr1lag_only,3.395187799938295,1.1597471192023159
rand,pr1lag_only,2.8697642813144713,1.1945638145641642
rand,pr1lag_only,3.0157092598204045,0.976919992581674
rand,pr1lag_only,4.201133372478369,1.5351760492024398
rand,pr1lag_only,2.927302708769415,1.1601035472040373
rand,pr52lag_only,2.9960383460022593,1.0905013466810107
rand,pr52lag_only,2.506515544630637,1.1904124541410712
rand,pr52lag_only,3.07497570802511,1.3819627486999524
rand,pr52lag_only,3.5758093598200817,1.6080519666640893
rand,pr52lag_only,2.5714822297765387,1.0564398236053512
rand,pr52lag_only,3.098775378020539,1.3708187769054376
rand,pr52lag_only,3.0578121015963995,1.2599528940631832
rand,pr52lag_only,3.1120124912955722,1.4052783076342985
rand,pr52lag_only,3.042630945798124,1.171249926867561
rand,pr52lag_only,2.94857254257367,1.1375862047679224
rand,pr52xcorr_only,3.1620996003241673,1.1335169091369872
rand,pr52xcorr_only,2.879598329801162,1.3050270739331458
rand,pr52xcorr_only,3.115464562294334,1.1425579087366684
rand,pr52xcorr_only,3.7091119775030625,1.7175291784838653
rand,pr52xcorr_only,3.9627314349808174,1.3530500762176603
rand,pr52xcorr_only,3.9318541142549024,1.60831853534971
rand,pr52xcorr_only,4.229414145134805,1.4785758708801073
rand,pr52xcorr_only,4.149353597502041,1.9397676459488422
