rmse_pooled_m,mae_pooled_m,rmse_mean_pw_m,rmse_median_pw_m,iqr_mean_pw_m,iqr_median_pw_m,nrmse_pw,n_wells,n_rows,tag
3.0113,1.5334,1.6847,0.5065,0.4039,0.325,1.2206,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_hpo_t027_ni128_ps200_j1e-03__predobstrain
3.0322,1.5491,1.7012,0.5065,0.4039,0.325,1.2215,52,444992,GRU_FCOV_in52_out16_ep50_bs2048_seed40_full_merged_test52_hpo_sep_t106__hpo_sep_t106__predobstrain
3.0658,1.5753,1.7257,0.5192,0.4039,0.325,1.2226,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_siwa_hr_gesp_constantmean__predobstrain
3.0702,1.5791,1.7249,0.521,0.4039,0.325,1.2238,52,444992,GRU_FCOV_in52_out16_ep50_bs8192_seed40_full_merged_test52_hpo_sep_t126__hpo_sep_t126__predobstrain
3.0582,1.5695,1.7178,0.511,0.4039,0.325,1.224,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_hpo_t036_ni128_ps200_j1e-03__predobstrain
3.0747,1.582,1.7299,0.5214,0.4039,0.325,1.2257,52,444992,GRU_FCOV_in52_out16_ep50_bs8192_seed40_full_merged_test52_hpo_sep_t129__hpo_sep_t129__predobstrain
3.0312,1.5535,1.6995,0.5071,0.4039,0.325,1.2259,52,444992,GRU_FCOV_in52_out16_ep50_bs8192_seed40_full_merged_test52_hpo_sep_t131__hpo_sep_t131__predobstrain
3.0713,1.5808,1.7271,0.5213,0.4039,0.325,1.2276,52,444992,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__full_hist_siwa_hr_gesp_ind512__predobstrain
3.0289,1.55,1.6983,0.5058,0.4039,0.325,1.2276,52,444992,GRU_FCOV_in52_out16_ep50_bs8192_seed40_full_merged_test52_hpo_sep_t119__hpo_sep_t119__predobstrain
3.0101,1.5322,1.6881,0.5076,0.4039,0.325,1.2281,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_hpo_t014_ni256_ps200_j1e-05__predobstrain
3.0326,1.5505,1.6988,0.5104,0.4039,0.325,1.2285,52,444992,GRU_FCOV_in52_out16_ep50_bs2048_seed40_full_merged_test52_hpo_sep_t100__hpo_sep_t100__predobstrain
3.0313,1.5497,1.6973,0.5081,0.4039,0.325,1.229,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_hpo_t023_ni128_ps200_j1e-03__predobstrain
3.0694,1.5771,1.723,0.5201,0.4039,0.325,1.2293,52,444992,GRU_FCOV_in52_out16_ep50_bs8192_seed40_full_merged_test52_hpo_sep_t128__hpo_sep_t128__predobstrain
3.0194,1.5367,1.6928,0.5066,0.4039,0.325,1.2296,52,444992,GRU_FCOV_in52_out16_ep50_bs2048_seed40_full_merged_test52_hpo_sep_t091__hpo_sep_t091__predobstrain
3.044,1.5585,1.7092,0.5092,0.4039,0.325,1.2311,52,444992,GRU_FCOV_in52_out16_ep50_bs2048_seed40_full_merged_test52_hpo_sep_t090__hpo_sep_t090__predobstrain
3.0488,1.5636,1.7108,0.5092,0.4039,0.325,1.2317,52,444992,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__full_hist_hr_gespannt_siwa__predobstrain
3.0207,1.5409,1.6942,0.5034,0.4039,0.325,1.2317,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_siwa_hr_gespannt_test52__predobstrain
3.0499,1.566,1.7141,0.5078,0.4039,0.325,1.232,52,444992,GRU_FCOV_in52_out16_ep50_bs2048_seed40_full_merged_test52_hpo_sep_t088__hpo_sep_t088__predobstrain
3.0126,1.5361,1.6843,0.5055,0.4039,0.325,1.2324,52,444992,GRU_FCOV_in52_out16_ep50_bs2048_seed40_full_merged_test52_hpo_sep_t105__hpo_sep_t105__predobstrain
3.0354,1.5556,1.7024,0.5048,0.4039,0.325,1.2331,52,444992,GRU_FCOV_in52_out16_ep50_bs2048_seed40_full_merged_test52_hpo_sep_t095__hpo_sep_t095__predobstrain
3.0554,1.5655,1.7159,0.5128,0.4039,0.325,1.2338,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_hpo_t034_ni128_ps200_j1e-03__predobstrain
3.0296,1.548,1.6995,0.5077,0.4039,0.325,1.2359,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_hpo_t030_ni128_ps200_j1e-03__predobstrain
3.0661,1.576,1.7279,0.5208,0.4039,0.325,1.2372,52,444992,GRU_FCOV_in52_out16_ep50_bs2048_seed40_full_merged_test52_hpo_sep_t098__hpo_sep_t098__predobstrain
3.0487,1.5615,1.7112,0.5068,0.4039,0.325,1.2375,52,444992,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__full_hist_siwa_hr_gesp_ind64_s1__predobstrain
3.022,1.543,1.6922,0.5071,0.4039,0.325,1.2386,52,444992,GRU_FCOV_in52_out16_ep50_bs8192_seed40_full_merged_test52_hpo_sep_t117__hpo_sep_t117__predobstrain
3.1001,1.605,1.7468,0.5313,0.4039,0.325,1.2408,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_hpo_t022_ni128_ps200_j1e-03__predobstrain
3.0569,1.5684,1.7176,0.515,0.4039,0.325,1.2425,52,444992,GRU_FCOV_in52_out16_ep50_bs8192_seed40_full_merged_test52_hpo_sep_t124__hpo_sep_t124__predobstrain
3.0388,1.5548,1.7061,0.5059,0.4039,0.325,1.2435,52,444992,GRU_FCOV_in52_out16_ep50_bs2048_seed40_full_merged_test52_hpo_sep_t093__hpo_sep_t093__predobstrain
3.0421,1.5566,1.7051,0.508,0.4039,0.325,1.2436,52,444992,GRU_FCOV_in52_out16_ep50_bs2048_seed40_full_merged_test52_hpo_sep_t096__hpo_sep_t096__predobstrain
3.0768,1.5827,1.7339,0.5287,0.4039,0.325,1.2456,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_hpo_t015_ni64_ps200_j1e-03__predobstrain
3.0194,1.5391,1.693,0.504,0.4039,0.325,1.2458,52,444992,GRU_FCOV_in52_out16_ep50_bs2048_seed40_full_merged_test52_hpo_sep_t089__hpo_sep_t089__predobstrain
3.0387,1.555,1.7067,0.5055,0.4039,0.325,1.2459,52,444992,GRU_FCOV_in52_out16_ep50_bs2048_seed40_full_merged_test52_hpo_sep_t107__hpo_sep_t107__predobstrain
3.0304,1.5478,1.6991,0.5114,0.4039,0.325,1.246,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_hpo_t043_ni128_ps200_j1e-03__predobstrain
3.0443,1.5544,1.7081,0.5082,0.4039,0.325,1.2478,52,444992,GRU_FCOV_in52_out16_ep50_bs2048_seed40_full_merged_test52_hpo_sep_t114__hpo_sep_t114__predobstrain
3.0463,1.5582,1.7086,0.5133,0.4039,0.325,1.2483,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_hpo_t033_ni256_ps200_j1e-03__predobstrain
3.0283,1.5464,1.6996,0.5077,0.4039,0.325,1.2513,52,444992,GRU_FCOV_in52_out16_ep50_bs8192_seed40_full_merged_test52_hpo_sep_t130__hpo_sep_t130__predobstrain
3.0315,1.5488,1.7009,0.5078,0.4039,0.325,1.2522,52,444992,GRU_FCOV_in52_out16_ep50_bs8192_seed40_full_merged_test52_hpo_sep_t116__hpo_sep_t116__predobstrain
3.0125,1.5348,1.6855,0.5098,0.4039,0.325,1.2524,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_hpo_t032_ni256_ps200_j1e-03__predobstrain
3.022,1.54,1.692,0.5093,0.4039,0.325,1.258,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_hpo_t025_ni128_ps200_j1e-03__predobstrain
3.0183,1.5337,1.6876,0.5122,0.4039,0.325,1.2667,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_hpo_t021_ni128_ps200_j1e-03__predobstrain
2.7637,1.3269,1.4896,0.4591,0.4039,0.325,1.279,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_feat__siwa_hr__predobstrain
4.1777,2.1869,2.2987,0.6937,0.4039,0.325,1.3015,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_hpo_t004_ni64_ps100_j1e-04__predobstrain
4.2016,2.1992,2.3106,0.7047,0.4039,0.325,1.3067,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_hpo_t003_ni64_ps100_j1e-04__predobstrain
4.1872,2.194,2.3058,0.7052,0.4039,0.325,1.3252,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_hpo_t001_ni64_ps100_j1e-04__predobstrain
4.196,2.1996,2.3103,0.716,0.4039,0.325,1.3605,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_hpo_t002_ni64_ps100_j1e-04__predobstrain
4.197,2.1999,2.3102,0.7195,0.4039,0.325,1.3722,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_hpo_t040_ni64_ps100_j1e-03__predobstrain
4.2392,2.2233,2.3327,0.7387,0.4039,0.325,1.3784,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_hpo_t000_ni64_ps100_j1e-04__predobstrain
4.225,2.2158,2.3253,0.7361,0.4039,0.325,1.4064,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_hpo_t041_ni64_ps100_j1e-03__predobstrain
4.247,2.2249,2.334,0.7401,0.4039,0.325,1.4118,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_hpo_t039_ni64_ps100_j1e-03__predobstrain
3.0843,1.378,1.6064,0.4874,0.4039,0.325,1.4333,52,444992,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__decoupled_full_hist_hr_gespannt_ind64_seed3__predobstrain
3.4666,1.8453,2.0192,0.6522,0.4039,0.325,1.438,52,444992,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__full_hist_siwa_dsd_hr_gesp_ind64__predobstrain
2.9806,1.4181,1.7071,0.5095,0.4039,0.325,1.4483,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_feat__siwa_gesp__predobstrain
3.0918,1.3789,1.6087,0.4852,0.4039,0.325,1.4526,52,444992,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__decoupled_full_hist_hr_gespannt_ind256_seed3__predobstrain
3.0918,1.3792,1.6049,0.4845,0.4039,0.325,1.4572,52,444992,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__decoupled_full_hist_hr_gespannt_ind256__predobstrain
3.1054,1.3863,1.6145,0.4824,0.4039,0.325,1.4861,52,444992,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__decoupled_full_hist_hr_gespannt__predobstrain
3.1091,1.3886,1.6153,0.4819,0.4039,0.325,1.494,52,444992,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__decoupled_full_hist_hr_gespannt_ind64_seed2__predobstrain
3.1091,1.3874,1.6116,0.4822,0.4039,0.325,1.496,52,444992,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__decoupled_full_hist_hr_gespannt_ind512__predobstrain
3.1074,1.388,1.6172,0.4815,0.4039,0.325,1.4966,52,444992,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__decoupled_full_hist_hr_gespannt_ind1024__predobstrain
3.1067,1.3886,1.6149,0.4829,0.4039,0.325,1.4969,52,444992,GRU_FCOV_joint_in52_out16_ep50_seed40_full_merged_test52_lsp0p001__joint_test52_fullhist_hr_gespannt_v3__predobstrain
3.1088,1.3897,1.6183,0.4812,0.4039,0.325,1.4998,52,444992,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__decoupled_full_hist_hr_gespannt_ind128__predobstrain
3.1173,1.3913,1.6169,0.482,0.4039,0.325,1.5232,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_feat__hr_gesp__predobstrain
3.1204,1.3924,1.6175,0.4826,0.4039,0.325,1.5323,52,444992,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__decoupled_full_hist_hr_gespannt_ind2048__predobstrain
3.1221,1.3926,1.6153,0.4843,0.4039,0.325,1.5433,52,444992,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_twi_gok__decoupled_full_hist_twi_gok_hr_gespannt__predobstrain
3.124,1.3937,1.6176,0.4821,0.4039,0.325,1.5441,52,444992,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__decoupled_full_hist_hr_gespannt_ind256_seed2__predobstrain
3.1267,1.4006,1.6545,0.4657,0.4039,0.325,1.5776,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_feat__hydroraum__predobstrain
3.8967,1.8935,2.0162,0.5638,0.4039,0.325,1.6193,52,444992,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__full_hist_siwa_gwrecharge_hr_gesp_ind64__predobstrain
3.3497,1.552,1.8006,0.5647,0.4039,0.325,1.6548,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_feat__gw_gespannt__predobstrain
3.0388,1.5465,1.7058,0.678,0.4039,0.325,1.7294,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_hpo_t009_ni32_ps400_j1e-04__predobstrain
2.684,1.1743,1.4425,0.5095,0.4039,0.325,1.7313,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_feat__siwa__predobstrain
2.2937,1.1751,1.2773,0.7263,0.3851,0.3213,1.7389,104,833104,GRU_FCOV_oracle_random_max_dist_90__oracle_gpytorch__predobstrain
4.8246,2.0765,2.5685,0.6308,0.4039,0.325,1.7549,52,444992,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__full_hist_hr_gespannt_dyn__predobstrain
3.0747,1.5792,1.7415,0.692,0.4039,0.325,1.7602,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_hpo_t012_ni256_ps400_j1e-05__predobstrain
4.1149,1.9784,2.1395,0.6753,0.4039,0.325,1.7608,52,444992,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__full_hist_siwa_twi_hr_gesp_ind64_s1__predobstrain
3.0702,1.5683,1.7291,0.6817,0.4039,0.325,1.778,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_hpo_t010_ni256_ps400_j1e-05__predobstrain
3.0636,1.5654,1.727,0.6879,0.4039,0.325,1.7826,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_hpo_t011_ni256_ps400_j1e-05__predobstrain
2.9995,1.2988,1.5782,0.4917,0.4039,0.325,1.7831,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_feat__coords_only__predobstrain
3.0005,1.2991,1.5786,0.4917,0.4039,0.325,1.7867,52,444992,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__decoupled_full_hist__predobstrain
3.0844,1.5847,1.746,0.6873,0.4039,0.325,1.7984,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_hpo_t007_ni32_ps400_j1e-04__predobstrain
3.1125,1.6142,1.769,0.6882,0.4039,0.325,1.7984,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_hpo_t006_ni32_ps400_j1e-04__predobstrain
3.0847,1.5911,1.7454,0.6907,0.4039,0.325,1.8099,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_hpo_t013_ni256_ps400_j1e-05__predobstrain
3.2566,1.3975,1.4187,0.3932,0.2391,0.19,1.8158,52,44304,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__feat_hr_gespannt__predobstrain
3.0795,1.5782,1.7409,0.6886,0.4039,0.325,1.8298,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_hpo_t008_ni32_ps400_j1e-04__predobstrain
3.1092,1.6056,1.7564,0.6811,0.4039,0.325,1.8368,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_hpo_t005_ni32_ps400_j1e-04__predobstrain
5.5468,2.0924,2.5398,0.611,0.4039,0.325,1.842,52,444992,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__decoupled_full_hist_hr_gespannt_p1l__predobstrain
3.0747,1.4451,1.472,0.4553,0.2391,0.19,1.8729,52,44304,GRU_FCOV_in52_out16_ep50_bs8192_seed40_full_merged_test52_hpo_sep_t090__hpo_sep_t090__predobstrain
3.0833,1.4517,1.4751,0.4526,0.2391,0.19,1.8816,52,44304,GRU_FCOV_in52_out16_ep50_bs8192_seed40_full_merged_test52_hpo_sep_t077__hpo_sep_t077__predobstrain
3.0699,1.4404,1.464,0.4641,0.2391,0.19,1.8859,52,44304,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_hpo_sep_t046__hpo_sep_t046__predobstrain
3.0522,1.4313,1.4523,0.4619,0.2391,0.19,1.8918,52,44304,GRU_FCOV_in52_out16_ep50_bs2048_seed40_full_merged_test52_hpo_sep_t038__hpo_sep_t038__predobstrain
3.0571,1.4336,1.4581,0.4621,0.2391,0.19,1.8926,52,44304,GRU_FCOV_in52_out16_ep50_bs8192_seed40_full_merged_test52_hpo_sep_t066__hpo_sep_t066__predobstrain
4.4425,2.3377,2.5197,0.7106,0.4039,0.325,1.8954,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_feat__siwa_acf_class__predobstrain
3.099,1.4603,1.4821,0.4681,0.2391,0.19,1.8988,52,44304,GRU_FCOV_in52_out16_ep50_bs8192_seed40_full_merged_test52_hpo_sep_t072__hpo_sep_t072__predobstrain
3.056,1.4319,1.4552,0.4595,0.2391,0.19,1.9015,52,44304,GRU_FCOV_in52_out16_ep50_bs8192_seed40_full_merged_test52_hpo_sep_t064__hpo_sep_t064__predobstrain
3.0673,1.4387,1.4635,0.4729,0.2391,0.19,1.9185,52,44304,GRU_FCOV_in52_out16_ep50_bs8192_seed40_full_merged_test52_hpo_sep_t078__hpo_sep_t078__predobstrain
