trial,run_sig,status,objective,train_s,eval_s,elapsed_s,error,hp.model.gru_dropout,hp.model.gru_hidden,hp.model.gru_layers,hp.training.lr,horizon,NSE,RMSE,MAE,rMBE,metrics_found
6,gru_small_grid_v1_t006_seed40_full_merged,ok,0.2460797094768265,1844.533,227.675,2072.211,,0.1,128,2,0.0001,9.0,,0.20056038457000433,0.0821219195404164,,True
6,gru_small_grid_v1_t006_seed40_full_merged,ok,0.2460797094768265,1844.533,227.675,2072.211,,0.1,128,2,0.0001,10.0,,0.20781246705359246,0.08640086251812733,,True
6,gru_small_grid_v1_t006_seed40_full_merged,ok,0.2460797094768265,1844.533,227.675,2072.211,,0.1,128,2,0.0001,11.0,,0.21481001057986318,0.09053403333088501,,True
6,gru_small_grid_v1_t006_seed40_full_merged,ok,0.2460797094768265,1844.533,227.675,2072.211,,0.1,128,2,0.0001,12.0,,0.2215626721856677,0.09440640701913029,,True
6,gru_small_grid_v1_t006_seed40_full_merged,ok,0.2460797094768265,1844.533,227.675,2072.211,,0.1,128,2,0.0001,13.0,,0.22794321211803825,0.09808199913883285,,True
6,gru_small_grid_v1_t006_seed40_full_merged,ok,0.2460797094768265,1844.533,227.675,2072.211,,0.1,128,2,0.0001,14.0,,0.23410279454294095,0.10168794858091687,,True
6,gru_small_grid_v1_t006_seed40_full_merged,ok,0.2460797094768265,1844.533,227.675,2072.211,,0.1,128,2,0.0001,15.0,,0.24012834676547215,0.10521824596631356,,True
6,gru_small_grid_v1_t006_seed40_full_merged,ok,0.2460797094768265,1844.533,227.675,2072.211,,0.1,128,2,0.0001,16.0,,0.24607970947682653,0.10871024754109757,,True
7,gru_small_grid_v1_t007_seed40_full_merged,ok,0.2628401879270396,1361.004,275.785,1636.792,,0.2,192,3,0.001,1.0,,0.15273581183353377,0.03975942182910817,,True
7,gru_small_grid_v1_t007_seed40_full_merged,ok,0.2628401879270396,1361.004,275.785,1636.792,,0.2,192,3,0.001,2.0,,0.1586290422775484,0.049210073805096316,,True
7,gru_small_grid_v1_t007_seed40_full_merged,ok,0.2628401879270396,1361.004,275.785,1636.792,,0.2,192,3,0.001,3.0,,0.16521172185165506,0.05742644927245012,,True
7,gru_small_grid_v1_t007_seed40_full_merged,ok,0.2628401879270396,1361.004,275.785,1636.792,,0.2,192,3,0.001,4.0,,0.1732003253161593,0.06522081713592147,,True
7,gru_small_grid_v1_t007_seed40_full_merged,ok,0.2628401879270396,1361.004,275.785,1636.792,,0.2,192,3,0.001,5.0,,0.1815749349839449,0.07237289248128233,,True
7,gru_small_grid_v1_t007_seed40_full_merged,ok,0.2628401879270396,1361.004,275.785,1636.792,,0.2,192,3,0.001,6.0,,0.1899783729038364,0.07893461709174032,,True
7,gru_small_grid_v1_t007_seed40_full_merged,ok,0.2628401879270396,1361.004,275.785,1636.792,,0.2,192,3,0.001,7.0,,0.19850409423009097,0.08505314265002152,,True
7,gru_small_grid_v1_t007_seed40_full_merged,ok,0.2628401879270396,1361.004,275.785,1636.792,,0.2,192,3,0.001,8.0,,0.206877125972903,0.09074388953071699,,True
7,gru_small_grid_v1_t007_seed40_full_merged,ok,0.2628401879270396,1361.004,275.785,1636.792,,0.2,192,3,0.001,9.0,,0.2150164211744032,0.09602758726925001,,True
7,gru_small_grid_v1_t007_seed40_full_merged,ok,0.2628401879270396,1361.004,275.785,1636.792,,0.2,192,3,0.001,10.0,,0.2228466171760285,0.10099294097697714,,True
7,gru_small_grid_v1_t007_seed40_full_merged,ok,0.2628401879270396,1361.004,275.785,1636.792,,0.2,192,3,0.001,11.0,,0.2303150335231775,0.10565138770459345,,True
7,gru_small_grid_v1_t007_seed40_full_merged,ok,0.2628401879270396,1361.004,275.785,1636.792,,0.2,192,3,0.001,12.0,,0.2373912306383447,0.10995677561566529,,True
7,gru_small_grid_v1_t007_seed40_full_merged,ok,0.2628401879270396,1361.004,275.785,1636.792,,0.2,192,3,0.001,13.0,,0.24410680597633877,0.11399064736914888,,True
7,gru_small_grid_v1_t007_seed40_full_merged,ok,0.2628401879270396,1361.004,275.785,1636.792,,0.2,192,3,0.001,14.0,,0.2505426548834574,0.11781654314930419,,True
7,gru_small_grid_v1_t007_seed40_full_merged,ok,0.2628401879270396,1361.004,275.785,1636.792,,0.2,192,3,0.001,15.0,,0.2567751711192667,0.12149556519813433,,True
7,gru_small_grid_v1_t007_seed40_full_merged,ok,0.2628401879270396,1361.004,275.785,1636.792,,0.2,192,3,0.001,16.0,,0.26284018792703967,0.12511607883697645,,True
8,gru_small_grid_v1_t008_seed40_full_merged,ok,0.2467344039296694,559.064,230.637,789.704,,0.1,96,3,0.001,1.0,,0.15086493649877394,0.035288394896874235,,True
8,gru_small_grid_v1_t008_seed40_full_merged,ok,0.2467344039296694,559.064,230.637,789.704,,0.1,96,3,0.001,2.0,,0.15905467721862881,0.043448301890232834,,True
8,gru_small_grid_v1_t008_seed40_full_merged,ok,0.2467344039296694,559.064,230.637,789.704,,0.1,96,3,0.001,3.0,,0.16626808910118576,0.050009448542220586,,True
8,gru_small_grid_v1_t008_seed40_full_merged,ok,0.2467344039296694,559.064,230.637,789.704,,0.1,96,3,0.001,4.0,,0.17384438706469635,0.056075812682235056,,True
8,gru_small_grid_v1_t008_seed40_full_merged,ok,0.2467344039296694,559.064,230.637,789.704,,0.1,96,3,0.001,5.0,,0.18109568412863286,0.061488338910164544,,True
