tag,nRMSE,nRMSE_pw
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pts_sweep_p256_rs43__predobstrain,0.26753481944526875,3.7515184975118805
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pts_sweep_p256_rs44__predobstrain,0.11913718935474564,2.8732798140514784
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pts_sweep_p256_rs45__predobstrain,0.16117395170812704,3.7233499158799575
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pts_sweep_p256_rs46__predobstrain,0.16909916383584903,4.257448380047887
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pts_sweep_p32_rs42__predobstrain,0.12049874827918326,3.150609444764827
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pts_sweep_p32_rs43__predobstrain,0.22998835038514526,4.144083877087269
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pts_sweep_p32_rs44__predobstrain,0.12050052063593497,2.8200551657108948
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pts_sweep_p32_rs45__predobstrain,0.1802841066573639,3.5270951117603784
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pts_sweep_p32_rs46__predobstrain,0.1698487027007227,3.817961514868177
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pts_sweep_p64_rs42__predobstrain,0.12015526835881082,3.2372128043037454
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pts_sweep_p64_rs43__predobstrain,0.23084033214133118,4.141005780720177
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pts_sweep_p64_rs44__predobstrain,0.12034553808201605,2.7432375237693476
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pts_sweep_p64_rs45__predobstrain,0.17876693513853478,3.5400527834274893
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pts_sweep_p64_rs46__predobstrain,0.1696744549422788,3.871703150503932
