run_number,objective,elapsed_s,model_prefix,RMSE_pooled,nRMSE,NSE_pooled,NSE_id_median,MAE_pooled,backend,n_inducing,pretrain_steps,jitter,max_pretrain_pts,variational_lr,hpo_name,trial,gru_run_sig,gp_run_tag,split,dir_name
30,0.2526086729259357,32.71,GRU_FCOV,5.441190814824655,0.2526086729259357,0.9438092102277338,-50.62346838994233,3.043883429763158,gpytorch,32.0,0.0,0.0001,128.0,0.01,gp_gpytorch_hpo_v2,10.0,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_gpytorch_hpo_v2_t010,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_gpytorch_hpo_v2_t010__predobstrain
31,0.2526086729259357,31.345,GRU_FCOV,5.441190814824655,0.2526086729259357,0.9438092102277338,-50.62346838994233,3.043883429763158,gpytorch,64.0,0.0,0.0001,128.0,0.01,gp_gpytorch_hpo_v2,3.0,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_gpytorch_hpo_v2_t003,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_gpytorch_hpo_v2_t003__predobstrain
32,0.2542384464610545,58.06,GRU_FCOV,5.476296136771113,0.2542384464610545,0.943081810950008,-65.20881490215316,2.9771590466675564,gpytorch,64.0,500.0,0.0001,128.0,0.01,gp_gpytorch_hpo_v3,6.0,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_gpytorch_hpo_v3_t006,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_gpytorch_hpo_v3_t006__predobstrain
33,0.2552630723481104,31.493,GRU_FCOV,5.498366578378298,0.2552630723481104,0.9426221057369583,-53.50161852063589,3.0827503640484712,gpytorch,32.0,0.0,0.001,128.0,0.01,gp_gpytorch_hpo_v2,6.0,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_gpytorch_hpo_v2_t006,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_gpytorch_hpo_v2_t006__predobstrain
34,0.2552630723481104,31.229,GRU_FCOV,5.498366578378298,0.2552630723481104,0.9426221057369583,-53.50161852063589,3.0827503640484712,gpytorch,128.0,0.0,0.001,128.0,0.01,gp_gpytorch_hpo_v2,12.0,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_gpytorch_hpo_v2_t012,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_gpytorch_hpo_v2_t012__predobstrain
35,0.2552630723481104,32.032,GRU_FCOV,5.498366578378298,0.2552630723481104,0.9426221057369583,-53.50161852063589,3.0827503640484712,gpytorch,64.0,0.0,0.001,128.0,0.01,gp_gpytorch_hpo_v2,4.0,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_gpytorch_hpo_v2_t004,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_gpytorch_hpo_v2_t004__predobstrain
36,5.498413378391878,,GRU_FCOV,5.498413378391878,0.2552652450506907,0.942621128974998,-53.45275945263355,3.0828207359545257,,,,,,,,,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_pretrain_effect_v2_t007,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_pretrain_effect_v2_t007__predobstrain
37,5.498413378391878,,GRU_FCOV,5.498413378391878,0.2552652450506907,0.942621128974998,-53.45275945263355,3.0828207359545257,,,,,,,,,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_pretrain_effect_v2_t004,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_pretrain_effect_v2_t004__predobstrain
38,5.498413378391878,,GRU_FCOV,5.498413378391878,0.2552652450506907,0.942621128974998,-53.45275945263355,3.0828207359545257,,,,,,,,,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_pretrain_effect_v2_t012,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_pretrain_effect_v2_t012__predobstrain
39,5.498413378391878,,GRU_FCOV,5.498413378391878,0.2552652450506907,0.942621128974998,-53.45275945263355,3.0828207359545257,,,,,,,,,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_pretrain_effect_v2_t011,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_pretrain_effect_v2_t011__predobstrain
40,5.498413378391878,,GRU_FCOV,5.498413378391878,0.2552652450506907,0.942621128974998,-53.45275945263355,3.0828207359545257,,,,,,,,,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_pretrain_effect_v2_t010,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_pretrain_effect_v2_t010__predobstrain
41,5.498413378391878,,GRU_FCOV,5.498413378391878,0.2552652450506907,0.942621128974998,-53.45275945263355,3.0828207359545257,,,,,,,,,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_pretrain_effect_v2_t009,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_pretrain_effect_v2_t009__predobstrain
42,5.498413378391878,,GRU_FCOV,5.498413378391878,0.2552652450506907,0.942621128974998,-53.45275945263355,3.0828207359545257,,,,,,,,,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_pretrain_effect_v2_t008,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_pretrain_effect_v2_t008__predobstrain
