trial,run_sig,objective,train_s,trained_epochs,NSE_weighted_mean_h1_16,NSE_mean_h1_16,RMSE_mean_h1_16,RMSE_weighted_mean_h1_16,NSE_h16_plotstyle,RMSE_h16_plotstyle,MAE_h16_plotstyle,status,eval_s,elapsed_s,error,hp.model.gru_dropout,hp.model.gru_hidden,hp.model.gru_layers,hp.training.lr,hpo_name,hp.model.use_revin,hp.training.lr_scheduler.enabled
5.0,gru_small_grid_v3_t005_seed40_full_merged,0.243149928026551,2726.37,13.0,0.8355739265568701,0.8489768090646997,0.06653281511698195,0.06995105449953525,0.7511136632811143,0.0900434618080059,0.07145894863904813,ok,285.885,3012.259,,0.2,192.0,5.0,0.0003,gru_small_grid_v3,,
4.0,gru_small_refine_v4_t004_seed40_full_merged,0.2381395907293347,2734.832,17.0,0.8331689174997328,0.8457593825345354,0.06876505489690013,0.07221121219198486,0.7559212430123669,0.09133450131762881,0.07187134053283956,ok,290.339,3025.175,,0.2,176.0,4.0,0.000375,gru_small_refine_v4,,
10.0,gru_small_grid_v2_t010_seed40_full_merged,0.2684607076243711,526.443,13.0,0.8328399433979391,0.8474373988131655,0.0672776674324149,0.07095770629406607,0.7386286150306254,0.09093523792866302,0.0732795913498123,ok,221.701,748.147,,0.2,256.0,2.0,0.0004,gru_small_grid_v2,,
1.0,gru_small_refine_v4_t001_seed40_full_merged,0.2657414557678317,2376.548,14.0,0.8301720834145608,0.8438034056841227,0.06854668468710698,0.07223093742113496,0.7497365764313331,0.09151344370535731,0.07228772051922687,ok,295.749,2672.339,,0.2,176.0,4.0,0.00035,gru_small_refine_v4,,
8.0,gru_small_grid_v1_t008_seed40_full_merged,0.2467344039296694,559.064,13.0,0.8295587219163267,0.8443019686264369,0.06750683481197932,0.07122090742053043,0.7317612584761468,0.09280138676935062,0.07336211101317303,ok,230.637,789.704,,0.1,96.0,3.0,0.001,gru_small_grid_v1,,
9.0,gru_small_grid_v3_t009_seed40_full_merged,0.2255349162705339,932.327,13.0,0.8290557490700294,0.8427185018121592,0.06909648939111558,0.07270109531943028,0.7453794733867991,0.09320643333412985,0.0748985752914891,ok,228.983,1161.314,,0.2,160.0,5.0,0.00035,gru_small_grid_v3,,
3.0,gru_small_grid_v3_t003_seed40_full_merged,0.2370708177032094,864.043,14.0,0.8278151727144438,0.8419447453627946,0.06868079141785678,0.07230860581211361,0.7362937464118766,0.09255072746378487,0.07497775915897253,ok,270.35,1134.396,,0.2,160.0,4.0,0.0004,gru_small_grid_v3,,
6.0,gru_small_refine_v4_t006_seed40_full_merged,0.2370708177032094,852.94,14.0,0.8278151727144438,0.8419447453627946,0.06868079141785678,0.07230860581211361,0.7362937464118766,0.09255072746378487,0.07497775915897253,ok,281.444,1134.387,,0.2,160.0,4.0,0.0004,gru_small_refine_v4,,
10.0,gru_small_grid_v3_t010_seed40_full_merged,0.2375229638778188,1269.823,21.0,0.8267499348052603,0.8401012002674233,0.06933188612577354,0.0728320768696735,0.745945630272404,0.09209500481896815,0.07304980125262107,ok,233.786,1503.613,,0.2,160.0,4.0,0.0003,gru_small_grid_v3,,
2.0,gru_small_grid_v3_t002_seed40_full_merged,0.2302948521733953,917.702,13.0,0.8256192334224725,0.8395439638219502,0.06968819150852151,0.07330529464992197,0.7382594537173601,0.09304098863470421,0.07489968171883456,ok,234.875,1152.581,,0.2,160.0,5.0,0.0004,gru_small_grid_v3,,
,gru_l3_seed40_ep50_full_merged_spf0p8_sc20_ss42,,,30.0,0.8255531566373445,0.840013031585801,0.06920645972825845,0.07286036043639092,0.7346263889161824,0.09283308767643651,0.07276799255635315,,,,,,,,,,,
10.0,gru_small_grid_v1_t010_seed40_full_merged,0.2239165263514372,1812.194,50.0,0.8250186795215849,0.8403176685430512,0.06829919617288424,0.07225085503696001,0.7307964547012017,0.09465413799192925,0.07584281194777716,ok,250.816,2063.012,,0.2,96.0,2.0,0.0001,gru_small_grid_v1,,
,in52_out16_ep50_bs8192_seed40_full_merged_r0_s0_spf0p8_sc20_ss42,,,16.0,0.8247276694400064,0.8393874641295195,0.0680287937819849,0.07180476634419064,0.7311420524521696,0.09502755377756954,0.075381528763544,,,,,,,,,,,
2.0,gru_small_grid_v2_t002_seed40_full_merged,0.2651402611680664,1241.874,29.0,0.8247220953716817,0.83926432948165,0.06795956512832287,0.07160890070392885,0.7314289373160824,0.09190426545128265,0.07312967870142553,ok,244.945,1486.823,,0.2,224.0,2.0,0.0002,gru_small_grid_v2,,
7.0,gru_small_grid_v2_t007_seed40_full_merged,0.2316776687671754,724.218,14.0,0.8243323348403501,0.8386969372485429,0.06853803478571895,0.07216911699763613,0.7337147562132524,0.09232405983896107,0.07401715006147112,ok,232.056,956.277,,0.2,256.0,3.0,0.0004,gru_small_grid_v2,,
,gru_l4_h192_bs4096_seed41_ep50,,,13.0,0.8239050811712113,0.8380371972492471,0.06960144774962576,0.07336517844468234,0.7392103317447232,0.09428676117289528,0.07463366025454038,,,,,,,,,,,
1.0,gru_small_grid_v1_t001_seed40_full_merged,0.2513870982778711,1794.947,50.0,0.8229362112362054,0.8383496995274303,0.0683919140126032,0.07226966332572529,0.7241574719429844,0.09408205821673077,0.07425441989650974,ok,232.248,2027.221,,0.3,96.0,2.0,0.0001,gru_small_grid_v1,,
2.0,gru_small_grid_v1_t002_seed40_full_merged,0.2521911479899351,1783.611,42.0,0.8222297052150637,0.8375361503541456,0.06934811437758251,0.07317523782400627,0.729005979490315,0.09363711696858842,0.07530329650614685,ok,246.051,2029.664,,0.1,128.0,3.0,0.0001,gru_small_grid_v1,,
8.0,gru_small_grid_v3_t008_seed40_full_merged,0.2287130608242336,1197.197,17.0,0.8222006609478174,0.836434985663135,0.06983419555978648,0.07351665861237912,0.7358876694143874,0.09414061504542905,0.0751783780721359,ok,277.612,1474.813,,0.2,160.0,5.0,0.0003,gru_small_grid_v3,,
1.0,gru_ablation_revin_scheduler_t001_seed40_full_merged,0.1612232790148093,846.884,21.0,0.8208399988569237,0.8371754417204925,0.06948862806869725,0.07378699849301144,0.7216758550806841,0.09687880655141329,0.07335977430467482,ok,229.706,1076.616,,,,,,gru_ablation_revin_scheduler,True,False
3.0,gru_ablation_revin_scheduler_t003_seed40_full_merged,0.1612232790148093,803.193,21.0,0.8208399988569237,0.8371754417204925,0.06948862806869725,0.07378699849301144,0.7216758550806841,0.09687880655141329,0.07335977430467482,ok,225.322,1028.519,,,,,,gru_ablation_revin_scheduler,True,True
,in52_out16_ep50_bs4096_seed40_full_merged_r1_spf0p8_sc20_ss42,,,21.0,0.8208399988569237,0.8371754417204925,0.06948862806869725,0.07378699849301144,0.7216758550806841,0.09687880655141329,0.07335977430467482,,,,,,,,,,,
12.0,gru_small_grid_v1_t012_seed40_full_merged,0.2342922749136698,1286.812,13.0,0.8198049392879815,0.8344474359098487,0.07131849879104253,0.07519840804025645,0.7274474991160955,0.09647438977662051,0.07667993983149013,ok,235.147,1521.962,,0.2,192.0,2.0,0.001,gru_small_grid_v1,,
5.0,gru_small_grid_v1_t005_seed40_full_merged,0.2583570009002858,575.467,15.0,0.8196418646646985,0.835101861650317,0.06951377848240413,0.07350064599247252,0.7228434431912665,0.0958009445333568,0.07558850705365598,ok,232.546,808.015,,0.2,96.0,2.0,0.001,gru_small_grid_v1,,
