id,is_outlier,mae,rmse,bias,n_obs_full,gws_iqr_full
LFU_38539090,False,4.496953137590138,4.500534568301006,-4.496953137590138,2401,1.25
LFU_29410630,False,4.478004265626373,4.478973568085503,4.478004265626373,1001,0.21999999999999886
LFU_41486087,False,4.305285527222456,4.305523102908348,-4.305285527222456,1448,0.21999999999999886
LFU_32471947,False,4.268580604958775,4.269737463321679,4.268580604958775,2745,0.6599999999999966
LFU_27460295,False,4.257699955906083,4.259781997342482,4.257699955906083,2380,0.20999999999999375
LFU_39451280,False,4.13567454148082,4.140726695168636,4.13567454148082,1153,0.35999999999999943
LFU_34502413,False,4.192355252124031,4.1935776762302615,4.192355252124031,1214,0.43000000000000327
LFU_31491988,False,4.175122063863477,4.176565393019896,-4.175122063863477,2740,1.3599999999999994
LFU_43476151,False,4.132749504751849,4.134466210515388,4.132749504751849,1221,0.29999999999999716
LFU_32502137,False,4.088346246799253,4.0887465735524895,4.088346246799253,2784,0.2400000000000002
LFU_36532660,False,4.0111760135827526,4.022843475979781,4.0111760135827526,1857,0.6400000000000006
LFU_28501105,False,4.049347977373674,4.051554736273844,4.049347977373674,1963,0.1999999999999993
LFU_35459952,False,3.5220632421812526,3.5274809188293985,-3.5220632421812526,2501,0.9599999999999937
LFU_34522488,False,3.355502832427396,3.3575576570583245,3.355502832427396,2692,0.33000000000000007
LFU_38441737,False,3.2884582170175096,3.2961316871709605,-3.2884582170175096,2291,0.6799999999999997
LFU_34522461,False,2.8136847064954664,2.8180030552637483,-2.8136847064954664,2899,0.47999999999999865
LFU_29370007,False,2.7480779891734364,2.7496180621172757,2.7480779891734364,1566,0.10999999999999943
LFU_40536004,False,2.714414757627031,2.7156380123577266,-2.714414757627031,876,1.2700000000000031
LFU_29410540,False,2.682066924528348,2.694251796493044,2.682066924528348,2537,0.37999999999999545
LFU_38413490,False,2.657905286779429,2.6612177163946895,2.657905286779429,914,0.18000000000000682
LFU_33447300,False,2.620166242404211,2.6393369715735435,-2.620166242404211,1162,0.3399999999999963
LFU_32502123,False,2.6217769857068864,2.6220143226932255,-2.6217769857068864,2796,0.5199999999999996
LFU_35522580,False,2.372743358674501,2.3817830797881143,2.372743358674501,2898,0.519999999999996
LFU_39549076,False,2.2835044072351085,2.2850874852183822,-2.2835044072351085,2905,0.21999999999999886
